                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1215,                 5.0699,                 1.7356,                      0,                      0,                      0,                      0,                 1.6296,                 4.7061,                 1.3072,              6.672e-05,              6.672e-05,              6.672e-05
                      2,                  1.386,                 4.6072,                 1.1694,                0.00521,                0.00068,                0.00279,                 0.0014,                 1.3542,                 4.5122,                 1.1267,             0.00013487,             0.00013487,             0.00013487
                      3,                 1.3476,                  4.211,                  1.123,                0.08459,                0.24814,                0.06982,                0.04332,                 1.4578,                 4.3348,                 1.1703,             0.00020165,             0.00020165,             0.00020165
                      4,                 1.3599,                 3.7835,                 1.1212,                0.08319,                0.65649,                0.13422,                0.08081,                 1.3724,                 4.0265,                 1.1141,             0.00026705,             0.00026705,             0.00026705
                      5,                 1.3465,                 3.3354,                 1.1138,                0.08532,                0.79265,                0.18865,                 0.1147,                 1.3806,                 3.3491,                 1.1416,             0.00026699,             0.00026699,             0.00026699
                      6,                 1.3759,                 2.8931,                 1.1415,                0.20667,                0.49471,                 0.2452,                0.14744,                 1.4269,                 2.5689,                 1.2057,             0.00026424,             0.00026424,             0.00026424
                      7,                 1.3501,                 2.5619,                 1.1382,                0.23764,                0.55782,                 0.2784,                0.16977,                 1.4193,                 2.2513,                 1.2414,             0.00026149,             0.00026149,             0.00026149
                      8,                 1.3312,                 2.3208,                 1.1411,                0.27911,                0.56595,                0.33159,                0.20126,                 1.4001,                 2.0456,                 1.2759,             0.00025873,             0.00025873,             0.00025873
                      9,                 1.2815,                 2.1599,                 1.1205,                0.28044,                0.62368,                0.35959,                0.21852,                 1.3658,                 1.9473,                 1.2581,             0.00025598,             0.00025598,             0.00025598
                     10,                 1.2945,                 2.0331,                 1.1353,                0.25985,                0.64859,                0.32203,                0.19217,                 1.3566,                 1.9225,                 1.2723,             0.00025323,             0.00025323,             0.00025323
                     11,                 1.2803,                 1.9232,                 1.1336,                0.32641,                0.67648,                0.40295,                0.24097,                 1.3619,                 1.8368,                 1.2646,             0.00025048,             0.00025048,             0.00025048
